,x,y
0,400,400
1,400,400
2,400,401
3,400,401
4,400,401
5,400,402
6,400,402
7,400,402
8,400,402
9,400,402
10,400,403
11,400,404
12,400,405
13,400,406
14,400,407
15,400,408
16,400,409
17,400,410
18,400,411
19,400,412
20,400,413
21,400,414
22,400,414
23,400,415
24,400,416
25,400,417
26,400,418
27,400,419
28,400,420
29,400,421
30,400,422
31,400,423
32,400,424
33,400,425
34,400,426
35,400,427
36,400,428
37,400,429
38,400,430
39,400,431
40,400,432
41,400,433
42,400,434
43,400,435
44,400,436
45,400,437
46,400,438
47,400,438
48,400,439
49,400,440
50,400,441
51,400,442
52,400,443
53,400,444
54,400,445
55,400,446
56,400,447
57,400,448
58,400,449
59,400,450
60,400,451
61,400,452
62,400,453
63,400,454
64,400,455
65,400,456
66,400,457
67,400,458
68,400,459
69,400,460
70,400,461
71,400,462
72,400,463
73,400,463
74,400,464
75,400,465
76,400,466
77,400,467
78,400,468
79,400,469
80,400,470
81,400,471
82,400,472
83,400,473
84,400,474
85,400,475
86,400,476
87,400,477
88,400,478
89,400,479
90,400,480
91,400,481
92,400,482
93,400,483
94,400,484
95,399,485
96,399,486
97,399,487
98,399,488
99,399,488
100,399,489
101,399,490
102,399,491
103,399,492
104,399,493
105,399,494
106,399,495
107,399,496
108,399,497
109,399,498
110,399,499
111,399,500
112,399,501
113,399,502
114,399,503
115,399,504
116,399,505
117,399,506
118,399,507
119,399,508
120,399,509
121,399,510
122,399,511
123,399,512
124,399,513
125,399,513
126,399,514
127,399,514
128,399,515
129,399,516
130,399,517
131,398,518
132,399,519
133,398,520
134,398,521
135,398,522
136,398,523
137,398,524
138,398,525
139,398,526
140,398,527
141,398,528
142,397,529
143,397,530
144,397,531
145,397,532
146,396,533
147,396,534
148,396,534
149,395,535
150,395,536
151,394,537
152,394,538
153,393,539
154,393,539
155,392,540
156,392,541
157,391,542
158,390,542
159,390,543
160,389,544
161,388,544
162,387,545
163,386,545
164,386,546
165,385,546
166,384,546
167,383,547
168,382,547
169,381,548
170,380,548
171,379,548
172,378,548
173,377,548
174,376,548
175,375,548
176,374,548
177,373,548
178,372,548
179,371,548
180,370,548
181,369,548
182,368,548
183,367,548
184,366,547
185,366,547
186,365,547
187,364,547
188,363,547
189,362,547
190,361,547
191,360,547
192,359,547
193,358,547
194,357,547
195,356,547
196,355,546
197,354,546
198,353,546
199,352,546
200,351,546
201,350,546
202,349,546
203,348,546
204,347,546
205,346,546
206,345,546
207,344,546
208,343,546
209,342,546
210,341,546
211,340,546
212,339,546
213,338,546
214,337,546
215,336,545
216,335,545
217,334,546
218,333,545
219,332,545
220,331,545
221,331,545
222,330,545
223,329,545
224,328,545
